category_id,game_mode_id
509658,NA
29595,NA
32399,NA
509672,NA
498566,NA
509659,NA
509663,NA
499973,NA
518184,NA
509660,NA
26936,NA
488190,NA
27284,NA
670867987,NA
1669431183,NA
272263131,NA
2748,NA
518203,NA
66082,NA
417752,NA
21779,2
21779,3
18122,2
18122,5
12839,1
12839,2
24241,1
24241,2
24241,3
24241,5
1494,1
1494,2
32982,1
32982,2
32982,3
12482,1
27546,2
27546,5
138585,1
138585,2
33214,1
33214,2
33214,3
33214,4
33214,6
65632,2
65632,3
65632,5
65632,6
29433,1
29433,2
29433,3
263490,2
263490,3
263490,5
18846,1
18846,2
18846,3
9618,1
9618,2
271304,1
271304,2
271304,3
271304,4
386821,2
386821,3
386821,5
460630,1
460630,2
460630,3
19619,3
19619,5
30921,1
30921,2
30921,3
30921,4
491931,1
491931,5
491168,2
23020,1
23020,2
23020,3
491487,1
491487,2
491487,3
417528,2
417528,5
493597,2
493597,3
493597,5
493959,1
493959,2
493959,3
497057,1
497057,2
497057,3
497057,5
493057,1
493057,2
493057,3
493057,6
499003,1
499003,2
499003,3
499003,5
29452,NA
498215,1
498215,2
498215,3
459931,2
459931,5
504461,1
504461,2
504461,3
511224,2
511224,3
511224,6
511391,1
19801,2
19801,3
19801,5
512953,1
512953,2
512953,3
513181,1
513181,2
513181,3
513143,1
513143,2
515024,1
515024,2
515024,3
515025,2
515025,3
1702520304,1
1702520304,2
1702520304,3
1702520304,5
516575,2
512710,2
512710,6
27471,1
27471,2
27471,3
27471,4
27471,5
982017546,1
982017546,2
982017546,3
982017546,5
1028198402,1
1119642287,1
1119642287,2
890558948,1
890558948,2
890558948,3
209738946,1
209738946,3
599619814,NA
2009321156,1
2009321156,2
2009321156,3
1910103699,2
1910103699,3
848400095,1
376500771,1
735904419,1
735904419,2
735904419,3
735904419,5
922572471,1
1282866981,1
1282866981,2
1282866981,3
1282866981,5
1936054038,1
1936054038,2
1936054038,3
2094865572,2
2094865572,3
1264310518,2
1264310518,3
1506110656,1
401587136,2
401587136,3
401587136,5
2132205352,1
2132205352,2
1672324422,1
1672324422,2
1672324422,3
36799602,1
705215730,1
1426873999,1
1426873999,2
168648543,1
168648543,2
362339131,1
1413930024,2
1413930024,3
1335943195,1
98473926,1
197489698,1
79499989,1
79499989,2
79499989,3
266795834,1
266795834,2
266795834,3
266795834,5
272952894,1
272952894,2
272952894,3
272952894,4
624536948,1
624536948,2
624536948,3
2112738408,1
2112738408,2
2112738408,3
509577,NA
493174,NA
772157971,NA
75467,NA
743,NA
13332,NA
490422,NA
509673,NA
1863222988,NA
13389,NA
509667,NA
1469308723,NA
417969,NA
515214,NA
15229,5
18893,1
18181,1
8645,1
11557,1
2692,1
7595,1
19357,2
19357,3
19357,5
71375,1
71375,2
71375,5
65876,1
66366,1
66366,2
66366,3
66366,5
66170,1
66170,2
66170,3
31336,2
31336,5
31339,1
31339,2
31339,3
31339,4
369252,1
8734,1
8734,2
8734,4
458443,1
32502,2
32502,3
32502,5
2083,2
2083,5
500188,1
500188,2
500188,3
19554,1
19554,2
19554,5
20050,5
458353,1
494131,1
489776,1
394568,1
490377,1
490377,2
490377,3
490147,1
490744,1
490744,2
490744,3
20596,2
20596,3
20596,5
492934,1
29056,1
29056,2
29056,3
29056,5
370378,1
490100,1
490100,2
490100,3
490100,5
493388,2
493388,5
511701,1
511701,2
511701,3
495811,1
495811,2
495811,3
495811,5
492286,1
492286,2
492286,3
492286,5
1421097847,1
1421097847,2
1421097847,3
1421097847,5
518017,1
498592,NA
